Area,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
An. Mak Thraki,57579,55742,61219,69725,81607,89574,77110,83065,38731
Kentr Mak,183372,173972,180725,211281,217041,195117,169374,159755,74099
Dyt Mak,25747,28331,34128,38603,45711,48364,39294,45069,24395
Hpeiros,27868,27941,35153,43319,51295,65429,58782,51192,31076
Thesalia,68700,68075,81801,98168,108723,113200,102070,92053,48177
Sterea El,45537,45493,55552,69110,79755,82917,75951,77824,46816
Ionia,18056,17379,18809,22049,27000,32146,29108,29804,20422
Dyt Ell,63610,68075,83193,96976,111361,118260,98639,86439,51536
Pelop,48791,48160,56891,68738,85416,99775,90006,95157,63632
Attiki,363379,331432,384270,455633,364017,242501,175163,131546,71241
Borio Aigaio,17271,17144,19756,23020,27854,31574,34304,32069,22916
Notio Aigaio,31282,29254,29768,32970,33495,35801,38530,31121,21001
Krhth,67000,60667,64620,73218,75954,76977,71873,62572,38891
Eksoteriko,31647,101040,244983,332494,271866,160219,73841,39576,30401